country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
UK,CHR,1,246,1.8890243902439017,-0.2797402207460187,0.7398373983739838,0.0975609756097561,0.08536585365853659,0.07723577235772358,16,1499904000000
HR,JEW,1,5,-1.04,-4.853093239665374,0.2,0.0,0.8,0.0,16,1499904000000
CS,JEW,1,3,3.4,3.53227771010962,1.0,0.0,0.0,0.0,16,1499904000000
MI,MOS,1,1,0.0,3.75335120643432,1.0,0.0,0.0,0.0,16,1499904000000
TW,TAO,1,1,-5.0,-7.55500034051959,0.0,0.0,0.0,1.0,16,1499904000000
BB,CHR,1,2,-2.2,-4.3382145590782955,0.5,0.0,0.5,0.0,16,1499904000000
BX,HIN,1,1,-10.0,-6.03174603174604,0.0,0.0,0.0,1.0,16,1499904000000
HU,JEW,1,136,1.0345588235294123,-1.4258193948112459,0.7941176470588235,0.007352941176470588,0.17647058823529413,0.022058823529411766,16,1499904000000
EI,HIN,1,1,7.4,3.40557275541795,0.0,1.0,0.0,0.0,16,1499904000000
US,TAO,1,1,5.0,1.28440366972477,0.0,1.0,0.0,0.0,16,1499904000000
CD,MOS,1,2,-2.0,-3.26086956521739,0.0,0.0,1.0,0.0,16,1499904000000
CB,MOS,1,1,0.4,1.07296137339056,1.0,0.0,0.0,0.0,16,1499904000000
GZ,JEW,1,1,-10.0,-6.07560756075607,0.0,0.0,0.0,1.0,16,1499904000000
CS,HIN,1,1,0.0,3.98671096345515,1.0,0.0,0.0,0.0,16,1499904000000
SF,NRM,1,1,-2.0,1.36186770428015,0.0,0.0,1.0,0.0,16,1499904000000
RE,CHR,1,1,4.0,0.523560209424084,1.0,0.0,0.0,0.0,16,1499904000000
HA,NRM,1,1,0.0,1.77849636216654,1.0,0.0,0.0,0.0,16,1499904000000
PA,CHR,1,4,2.65,0.8922950882140002,1.0,0.0,0.0,0.0,16,1499904000000
SN,TAO,1,2,2.8,1.566829665851675,1.0,0.0,0.0,0.0,16,1499904000000
MX,BUD,1,2,-9.0,-5.17423442449841,0.0,0.0,0.0,1.0,16,1499904000000
IT,ATH,1,2,0.0,-4.40677966101695,1.0,0.0,0.0,0.0,16,1499904000000
BH,MOS,1,2,1.0,-0.0999000999001001,1.0,0.0,0.0,0.0,16,1499904000000
AF,HIN,1,1,3.4,-0.84269662921348,1.0,0.0,0.0,0.0,16,1499904000000
US,BUD,1,85,-1.1223529411764706,-2.53295489168309,0.5764705882352941,0.047058823529411764,0.11764705882352941,0.25882352941176473,16,1499904000000
RQ,CHR,1,5,-5.0,-7.012145748987891,0.0,0.0,0.0,1.0,16,1499904000000
SN,JEW,1,3,1.8999999999999997,4.65116279069767,1.0,0.0,0.0,0.0,16,1499904000000
SZ,HIN,1,1,3.0,1.01351351351352,1.0,0.0,0.0,0.0,16,1499904000000
BP,CHR,1,1,-0.4,-3.05602716468591,1.0,0.0,0.0,0.0,16,1499904000000
BG,JEW,1,5,2.2800000000000002,-1.5677306618322169,1.0,0.0,0.0,0.0,16,1499904000000
CH,ATH,1,5,-0.6,-0.6677796327212,0.4,0.0,0.4,0.2,16,1499904000000
CU,ATH,1,1,4.0,-0.644392128455875,1.0,0.0,0.0,0.0,16,1499904000000
UP,MOS,1,1,1.9,-2.84854631507775,1.0,0.0,0.0,0.0,16,1499904000000
IN,JEW,1,580,1.8546551724137874,0.32356161754372476,0.906896551724138,0.03103448275862069,0.05,0.01206896551724138,16,1499904000000
NG,CHR,1,5,2.0,-0.288617265441356,0.4,0.4,0.2,0.0,16,1499904000000
AU,JEW,1,4,2.875,-3.1679804229561004,1.0,0.0,0.0,0.0,16,1499904000000
IR,NRM,1,6,6.3999999999999995,2.0979020979021,0.0,1.0,0.0,0.0,16,1499904000000
IT,CHR,1,186,0.7204301075268826,-0.9963415483075754,0.6666666666666666,0.05913978494623656,0.20967741935483872,0.06451612903225806,16,1499904000000
JO,HIN,1,1,3.4,-3.7394451145959,1.0,0.0,0.0,0.0,16,1499904000000
DJ,CHR,1,16,-1.1,-5.023721379721858,0.5,0.0,0.0,0.5,16,1499904000000
RS,ATH,1,2,-1.0,-0.6808927395824,0.5,0.0,0.5,0.0,16,1499904000000
DA,JEW,1,1,1.9,0.0,1.0,0.0,0.0,0.0,16,1499904000000
