country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
CH,JEW,2,9,2.477777777777778,-1.451765588460691,0.8888888888888888,0.1111111111111111,0.0,0.0,15,1499040000000
IN,MOS,2,776,-2.341494845360825,-5.106792714819673,0.36726804123711343,0.04768041237113402,0.27448453608247425,0.31056701030927836,15,1499040000000
ID,CHR,2,48,-2.06875,-3.86852459453892,0.2916666666666667,0.020833333333333332,0.3958333333333333,0.2916666666666667,15,1499040000000
SY,MOS,2,938,-2.965884861407238,-4.037703791517,0.35074626865671643,0.07995735607675906,0.17590618336886993,0.39339019189765456,15,1499040000000
UK,CHR,2,444,-0.05788288288288398,-1.4673153780054218,0.6756756756756757,0.05630630630630631,0.09009009009009009,0.17792792792792791,15,1499040000000
IS,JEW,2,1319,-0.027899924184988566,-1.4749731791704277,0.6057619408642911,0.0758150113722517,0.1652767247915087,0.15314632297194844,15,1499040000000
IT,CHR,2,219,0.7164383561643839,-0.8099599921527746,0.726027397260274,0.0730593607305936,0.1004566210045662,0.1004566210045662,15,1499040000000
CA,HIN,2,9,0.7666666666666667,-0.5971009780283679,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,15,1499040000000
ID,BUD,2,2,2.65,3.965782902077465,1.0,0.0,0.0,0.0,15,1499040000000
LE,CHR,2,35,3.6514285714285717,0.9094976059123159,0.8,0.02857142857142857,0.02857142857142857,0.14285714285714285,15,1499040000000
CA,CHR,2,149,1.779865771812081,0.17588556424362906,0.7651006711409396,0.087248322147651,0.06040268456375839,0.087248322147651,15,1499040000000
IZ,CHR,2,114,0.9631578947368422,-3.5180749071220596,0.6228070175438597,0.16666666666666666,0.07894736842105263,0.13157894736842105,15,1499040000000
SN,BUD,2,1,2.8,1.60919540229885,1.0,0.0,0.0,0.0,15,1499040000000
MX,MOS,2,11,0.9818181818181819,-5.562135780760365,0.8181818181818182,0.0,0.18181818181818182,0.0,15,1499040000000
CU,CHR,2,20,1.8749999999999996,0.7027580131423182,0.9,0.05,0.05,0.0,15,1499040000000
AS,ADR,2,2,3.0,-0.91296409007913,1.0,0.0,0.0,0.0,15,1499040000000
WE,HIN,2,4,-0.050000000000000044,0.432451517430685,0.5,0.0,0.5,0.0,15,1499040000000
IN,SIK,2,79,-2.5999999999999996,-3.322888015741484,0.34177215189873417,0.0,0.34177215189873417,0.31645569620253167,15,1499040000000
RW,MOS,2,1,1.9,2.37467018469657,1.0,0.0,0.0,0.0,15,1499040000000
SO,JEW,2,2,2.3499999999999996,-4.00572246065809,1.0,0.0,0.0,0.0,15,1499040000000
