country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
GM,CHR,1,292,0.9808219178082193,-0.6156983270155171,0.7328767123287672,0.06164383561643835,0.14726027397260275,0.05821917808219178,3,1488672000000
CA,JEW,1,202,-3.4950495049504946,-4.393327998892212,0.31683168316831684,0.034653465346534656,0.5445544554455446,0.10396039603960396,3,1488672000000
UG,NRM,1,4,0.75,5.35077288941736,1.0,0.0,0.0,0.0,3,1488672000000
GR,ATH,1,1,7.0,1.21212121212121,0.0,1.0,0.0,0.0,3,1488672000000
GR,BUD,1,2,0.0,-2.97450424929178,1.0,0.0,0.0,0.0,3,1488672000000
TP,CHR,1,1,6.0,3.47490347490348,1.0,0.0,0.0,0.0,3,1488672000000
IN,JEW,1,673,0.8060921248142635,0.9140364367932622,0.8380386329866271,0.02823179791976226,0.0787518573551263,0.0549777117384844,3,1488672000000
VT,MOS,1,1,2.8,-0.328984523867268,1.0,0.0,0.0,0.0,3,1488672000000
NG,CHR,1,2,0.0,-3.1166039763568,1.0,0.0,0.0,0.0,3,1488672000000
US,BUD,1,115,1.5356521739130442,-0.5941721919871091,0.7565217391304347,0.11304347826086956,0.09565217391304348,0.034782608695652174,3,1488672000000
NI,NRM,1,1,1.0,3.49417637271215,1.0,0.0,0.0,0.0,3,1488672000000
BA,MOS,1,51,-1.7039215686274511,-6.301283962962692,0.37254901960784315,0.0392156862745098,0.4117647058823529,0.17647058823529413,3,1488672000000
NI,HIN,1,2,-9.75,-5.12820512820513,0.0,0.0,0.0,1.0,3,1488672000000
CD,MOS,1,4,-1.5,-6.495787845402242,0.5,0.25,0.25,0.0,3,1488672000000
CA,MOS,1,244,-1.326229508196721,-2.5869651074494793,0.5163934426229508,0.036885245901639344,0.15163934426229508,0.29508196721311475,3,1488672000000
JO,BUD,1,3,-3.733333333333333,-6.673442305338987,0.3333333333333333,0.0,0.0,0.6666666666666666,3,1488672000000
CD,CHR,1,1,3.4,3.61111111111111,1.0,0.0,0.0,0.0,3,1488672000000
RP,JEW,1,2,-0.6000000000000001,-2.2883295194508,0.5,0.0,0.5,0.0,3,1488672000000
ML,JEW,1,3,-0.4000000000000001,1.31108462455304,1.0,0.0,0.0,0.0,3,1488672000000
GR,HIN,1,5,2.7399999999999998,3.659241505709854,1.0,0.0,0.0,0.0,3,1488672000000
AR,BUD,1,1,-9.2,0.34106412005457,0.0,0.0,0.0,1.0,3,1488672000000
HR,HIN,1,1,2.8,0.59880239520958,1.0,0.0,0.0,0.0,3,1488672000000
ER,CHR,1,2,3.0999999999999996,-1.6356217459281401,1.0,0.0,0.0,0.0,3,1488672000000
GM,TAO,1,1,-2.0,-1.01809954751131,0.0,1.0,0.0,0.0,3,1488672000000
RQ,MOS,1,2,-5.75,-3.14304082766463,0.0,0.0,0.5,0.5,3,1488672000000
SZ,ATH,1,1,-4.0,3.18352059925094,0.0,0.0,0.0,1.0,3,1488672000000
KR,MOS,1,1,3.4,-6.15942028985507,1.0,0.0,0.0,0.0,3,1488672000000
TW,MOS,1,4,-0.8500000000000001,-5.740763396134088,0.75,0.0,0.0,0.25,3,1488672000000
HR,JEW,1,2,3.45,-5.925693656926169,0.5,0.5,0.0,0.0,3,1488672000000
KS,SIK,1,2,2.8,-4.23814328960646,1.0,0.0,0.0,0.0,3,1488672000000
EI,HIN,1,3,1.1333333333333333,2.0525928507803735,1.0,0.0,0.0,0.0,3,1488672000000
CO,NRM,1,2,7.0,-5.738804715003795,1.0,0.0,0.0,0.0,3,1488672000000
SF,BUD,1,3,0.6666666666666666,-2.814581370127183,1.0,0.0,0.0,0.0,3,1488672000000
LT,CHR,1,1,3.0,4.28571428571429,1.0,0.0,0.0,0.0,3,1488672000000
WZ,BUD,1,1,0.0,-5.36871336007405,1.0,0.0,0.0,0.0,3,1488672000000
NU,CHR,1,2,4.9,0.118290472240145,0.5,0.5,0.0,0.0,3,1488672000000
AF,BUD,1,2,7.0,-3.65429234338747,1.0,0.0,0.0,0.0,3,1488672000000
AO,CHR,1,2,4.2,-2.09790209790209,0.5,0.5,0.0,0.0,3,1488672000000
AG,ATH,1,2,2.7,-3.00429184549356,0.0,0.5,0.5,0.0,3,1488672000000
MA,MOS,1,1,0.4,-6.99658703071672,1.0,0.0,0.0,0.0,3,1488672000000
BB,CHR,1,2,0.25,-0.7481006254760949,0.5,0.0,0.5,0.0,3,1488672000000
PO,NRM,1,2,3.0,3.17919075144509,1.0,0.0,0.0,0.0,3,1488672000000
BR,BUD,1,13,-0.28461538461538444,-1.8469278281954637,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.23076923076923078,3,1488672000000
VT,JEW,1,1,-2.0,-6.57439446366782,0.0,0.0,1.0,0.0,3,1488672000000
EI,BUD,1,2,0.75,-4.12297179819202,1.0,0.0,0.0,0.0,3,1488672000000
AS,HIN,1,22,1.3181818181818181,-0.0900884429334433,0.5909090909090909,0.2727272727272727,0.0,0.13636363636363635,3,1488672000000
MR,SIK,1,1,-2.0,3.48162475822051,0.0,0.0,1.0,0.0,3,1488672000000
HO,CHR,1,9,1.9666666666666666,-0.8762446198183526,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,3,1488672000000
AR,ATH,1,2,-0.8,-1.4395948380694998,0.5,0.0,0.5,0.0,3,1488672000000
MU,NRM,1,3,1.2666666666666666,4.942400594574506,1.0,0.0,0.0,0.0,3,1488672000000
BF,CHR,1,2,5.5,0.48997411321902495,0.5,0.5,0.0,0.0,3,1488672000000
MT,MOS,1,1,7.0,-6.52173913043479,0.0,1.0,0.0,0.0,3,1488672000000
AR,HIN,1,1,1.9,-0.66079295154185,1.0,0.0,0.0,0.0,3,1488672000000
FJ,HIN,1,3,4.3999999999999995,2.7728285626383666,1.0,0.0,0.0,0.0,3,1488672000000
TD,SHN,1,1,4.0,1.9271948608137,1.0,0.0,0.0,0.0,3,1488672000000
SU,JEW,1,3,2.7999999999999994,-0.92915214866435,1.0,0.0,0.0,0.0,3,1488672000000
GY,HIN,1,8,0.6249999999999999,3.8926438053685204,0.875,0.0,0.125,0.0,3,1488672000000
KS,NRM,1,3,2.766666666666667,2.52550344049612,1.0,0.0,0.0,0.0,3,1488672000000
EI,NRM,1,4,1.475,1.6465953183955049,1.0,0.0,0.0,0.0,3,1488672000000
RE,MOS,1,1,-10.0,-7.5968992248062,0.0,0.0,0.0,1.0,3,1488672000000
RS,TAO,1,3,-2.0,-1.2261057338943366,0.0,1.0,0.0,0.0,3,1488672000000
RS,NRM,1,2,-5.0,-5.88235294117647,0.0,0.0,0.0,1.0,3,1488672000000
HK,BUD,1,2,-1.0,-1.12582781456954,0.5,0.0,0.5,0.0,3,1488672000000
BK,CHR,1,4,1.0,-0.447477512645655,0.75,0.0,0.25,0.0,3,1488672000000
EG,ZRO,1,1,3.0,0.97999591835101,1.0,0.0,0.0,0.0,3,1488672000000
AM,JEW,1,5,0.05999999999999987,-0.6299182750668981,0.8,0.0,0.0,0.2,3,1488672000000
RW,MOS,1,3,-10.0,-7.545970905156669,0.0,0.0,0.0,1.0,3,1488672000000
EN,CHR,1,1,3.4,0.24213075060533,1.0,0.0,0.0,0.0,3,1488672000000
BF,MOS,1,1,-5.0,-2.99727520435967,0.0,0.0,0.0,1.0,3,1488672000000
GL,CHR,1,1,1.9,-4.07239819004525,1.0,0.0,0.0,0.0,3,1488672000000
TH,JEW,1,1,10.0,-2.371072910492,0.0,1.0,0.0,0.0,3,1488672000000
