country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
RS,MOS,1,175,-1.9748571428571424,-4.423908167895356,0.44571428571428573,0.09142857142857143,0.10857142857142857,0.35428571428571426,8,1492992000000
IN,SIK,1,86,-0.9186046511627907,-2.6118403698847596,0.5,0.10465116279069768,0.16279069767441862,0.23255813953488372,8,1492992000000
CW,CHR,1,1,1.9,0.289017341040463,1.0,0.0,0.0,0.0,8,1492992000000
IS,ZRO,1,1,0.0,-1.13528855250709,1.0,0.0,0.0,0.0,8,1492992000000
AJ,CHR,1,1,2.8,1.73124484748558,1.0,0.0,0.0,0.0,8,1492992000000
PK,ATH,1,1,5.0,-0.64350064350064,0.0,1.0,0.0,0.0,8,1492992000000
UV,MOS,1,2,-10.0,-10.066719383216334,0.0,0.0,0.0,1.0,8,1492992000000
MV,BUD,1,2,-3.0,0.25380710659899,0.5,0.0,0.0,0.5,8,1492992000000
KE,HIN,1,1,3.4,2.5531914893617,1.0,0.0,0.0,0.0,8,1492992000000
CE,NRM,1,1,3.4,3.3309709425939,1.0,0.0,0.0,0.0,8,1492992000000
AO,CHR,1,2,3.4,4.39560439560439,1.0,0.0,0.0,0.0,8,1492992000000
SP,SHN,1,10,3.19,1.86915887850467,1.0,0.0,0.0,0.0,8,1492992000000
GB,MOS,1,2,1.9,2.74442538593482,1.0,0.0,0.0,0.0,8,1492992000000
VM,ATH,1,1,0.4,1.09204368174727,1.0,0.0,0.0,0.0,8,1492992000000
BC,HIN,1,2,3.4,8.47750865051903,1.0,0.0,0.0,0.0,8,1492992000000
NO,JEW,1,4,-0.25,3.2779534506810872,0.75,0.0,0.0,0.25,8,1492992000000
RS,BUD,1,1,-2.0,0.81585081585081,0.0,0.0,1.0,0.0,8,1492992000000
TW,BUD,1,2,2.8,2.07972270363951,1.0,0.0,0.0,0.0,8,1492992000000
GM,NRM,1,2,-3.5,-0.506969348548115,0.5,0.0,0.0,0.5,8,1492992000000
RP,SHN,1,1,-2.0,-0.12953367875647,0.0,1.0,0.0,0.0,8,1492992000000
JA,SHN,1,2,-2.0,-0.12953367875647,0.0,1.0,0.0,0.0,8,1492992000000
HK,CHR,1,4,2.0,-1.007806338254802,0.5,0.25,0.25,0.0,8,1492992000000
FJ,NRM,1,1,0.0,3.72670807453416,1.0,0.0,0.0,0.0,8,1492992000000
SY,MOS,1,848,-3.1574292452830135,-5.237808321813469,0.35141509433962265,0.07900943396226415,0.125,0.44457547169811323,8,1492992000000
US,CHR,1,4531,1.4506510704038744,-0.3633721859439213,0.7364820128007062,0.07923195762524829,0.10328845729419554,0.08099757227984992,8,1492992000000
MX,NRM,1,2,3.9,1.135190918472655,0.5,0.5,0.0,0.0,8,1492992000000
UP,ATH,1,1,7.0,0.24813895781638,0.0,1.0,0.0,0.0,8,1492992000000
IZ,CHR,1,102,0.21960784313725454,-3.168841991931887,0.7058823529411765,0.049019607843137254,0.08823529411764706,0.1568627450980392,8,1492992000000
EZ,MOS,1,2,-1.5,1.1923566878980898,0.5,0.0,0.5,0.0,8,1492992000000
SF,MOS,1,11,-2.0090909090909093,-1.2487734051956667,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.36363636363636365,8,1492992000000
VQ,CHR,1,1,7.4,-1.77777777777778,0.0,1.0,0.0,0.0,8,1492992000000
VM,BUD,1,17,0.6352941176470587,2.030017593473713,0.8823529411764706,0.0,0.0,0.11764705882352941,8,1492992000000
IN,JAN,1,158,0.16075949367088588,-2.8477513938392556,0.5506329113924051,0.17721518987341772,0.0949367088607595,0.17721518987341772,8,1492992000000
AS,JAN,1,2,0.0,-2.33009708737864,1.0,0.0,0.0,0.0,8,1492992000000
PE,BUD,1,2,0.0,-2.94117647058823,1.0,0.0,0.0,0.0,8,1492992000000
IC,ATH,1,1,-10.0,-6.30797773654917,0.0,0.0,0.0,1.0,8,1492992000000
MN,CHR,1,2,2.3499999999999996,5.4054054054054,1.0,0.0,0.0,0.0,8,1492992000000
MY,BUD,1,5,3.5,-1.1477468791784342,0.6,0.4,0.0,0.0,8,1492992000000
RO,MOS,1,1,0.0,0.2410800385728,1.0,0.0,0.0,0.0,8,1492992000000
CD,CHR,1,2,7.4,1.44455964405494,0.0,1.0,0.0,0.0,8,1492992000000
KZ,CHR,1,1,5.0,1.25786163522012,0.0,1.0,0.0,0.0,8,1492992000000
AS,BUD,1,2,4.9,2.40320427236315,1.0,0.0,0.0,0.0,8,1492992000000
AE,HIN,1,1,1.0,3.78250591016548,1.0,0.0,0.0,0.0,8,1492992000000
TO,CHR,1,1,4.0,-0.68027210884354,1.0,0.0,0.0,0.0,8,1492992000000
MU,JAN,1,2,2.5,0.91649694501018,1.0,0.0,0.0,0.0,8,1492992000000
RS,SIK,1,1,3.4,-0.98673018033345,1.0,0.0,0.0,0.0,8,1492992000000
IS,ATH,1,5,-1.4,-0.751331029958538,0.8,0.0,0.0,0.2,8,1492992000000
SY,SIK,1,1,3.4,-0.98673018033345,1.0,0.0,0.0,0.0,8,1492992000000
KE,JEW,1,2,1.9,-1.31991160269083,1.0,0.0,0.0,0.0,8,1492992000000
GM,BUD,1,2,5.2,2.03841978153458,1.0,0.0,0.0,0.0,8,1492992000000
KN,BUD,1,1,2.8,-1.70316301703163,1.0,0.0,0.0,0.0,8,1492992000000
CV,CHR,1,4,2.3499999999999996,-1.08695652173913,1.0,0.0,0.0,0.0,8,1492992000000
DR,NRM,1,3,2.5,0.17239746140001996,1.0,0.0,0.0,0.0,8,1492992000000
ML,CHR,1,1,1.9,-2.22222222222222,1.0,0.0,0.0,0.0,8,1492992000000
LI,MOS,1,1,-6.5,-0.87565674255692,0.0,0.0,1.0,0.0,8,1492992000000
DO,CHR,1,1,7.0,2.14689265536723,0.0,1.0,0.0,0.0,8,1492992000000
BM,HIN,1,1,1.9,2.08937899013349,1.0,0.0,0.0,0.0,8,1492992000000
VT,JEW,1,4,1.5999999999999999,-1.25,0.75,0.0,0.25,0.0,8,1492992000000
TS,JEW,1,4,3.025,-6.1046847888953195,1.0,0.0,0.0,0.0,8,1492992000000
SC,CHR,1,2,4.0,5.98958333333333,1.0,0.0,0.0,0.0,8,1492992000000
RI,MOS,1,1,-10.0,-5.27045769764217,0.0,0.0,0.0,1.0,8,1492992000000
GJ,SHN,1,1,8.3,-8.10810810810811,0.0,1.0,0.0,0.0,8,1492992000000
MY,SIK,1,1,2.8,1.29198966408268,1.0,0.0,0.0,0.0,8,1492992000000
SP,NRM,1,2,7.0,-1.61290322580645,1.0,0.0,0.0,0.0,8,1492992000000
GB,CHR,1,4,0.0,2.74442538593482,1.0,0.0,0.0,0.0,8,1492992000000
BN,CHR,1,1,1.9,0.265957446808515,1.0,0.0,0.0,0.0,8,1492992000000
GG,CHR,1,6,3.6,2.127767118339237,1.0,0.0,0.0,0.0,8,1492992000000
BY,CHR,1,2,5.0,-3.71791549319064,0.0,1.0,0.0,0.0,8,1492992000000
DJ,MOS,1,1,-10.0,-0.69444444444444,0.0,0.0,0.0,1.0,8,1492992000000
LU,CHR,1,2,1.0,0.44943820224719,1.0,0.0,0.0,0.0,8,1492992000000
FR,NRM,1,9,1.5333333333333334,1.2247157525700734,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,8,1492992000000
IC,MOS,1,1,0.0,-2.51798561151079,1.0,0.0,0.0,0.0,8,1492992000000
PM,CHR,1,1,4.0,4.94791666666666,1.0,0.0,0.0,0.0,8,1492992000000
MN,NRM,1,1,3.4,7.14285714285714,1.0,0.0,0.0,0.0,8,1492992000000
FI,NRM,1,1,7.0,8.87573964497041,1.0,0.0,0.0,0.0,8,1492992000000
MX,ATH,1,3,-9.0,-8.564174451348991,0.0,0.0,0.0,1.0,8,1492992000000
BD,CHR,1,2,1.0,0.303030303030301,1.0,0.0,0.0,0.0,8,1492992000000
AJ,JEW,1,4,2.35,-0.34965034965035,1.0,0.0,0.0,0.0,8,1492992000000
YM,JEW,1,3,-5.0,-4.11449016100179,0.0,0.0,0.0,1.0,8,1492992000000
US,CHR,2,3851,1.6286419111918922,-0.3117872970739387,0.7842118930148013,0.06336016619059985,0.09322253960010386,0.05920540119449494,8,1492992000000
BU,MOS,1,3,-4.666666666666667,-4.615530772114401,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,8,1492992000000
SZ,NRM,1,3,4.933333333333334,7.159428108983003,0.3333333333333333,0.6666666666666666,0.0,0.0,8,1492992000000
BF,JEW,1,4,2.8499999999999996,-0.0071623081205124395,1.0,0.0,0.0,0.0,8,1492992000000
MK,JEW,1,3,-2.1333333333333333,-5.38720538720539,0.6666666666666666,0.0,0.0,0.3333333333333333,8,1492992000000
RS,CHR,2,130,-0.6669230769230766,-2.4225009094555525,0.5615384615384615,0.05384615384615385,0.2153846153846154,0.16923076923076924,8,1492992000000
