country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
CT,CHR,2,42,0.36904761904761907,-5.992460492971685,0.5714285714285714,0.023809523809523808,0.3333333333333333,0.07142857142857142,17,1500768000000
FR,JEW,2,31,-1.0193548387096778,-4.1012567137971745,0.5806451612903226,0.06451612903225806,0.16129032258064516,0.1935483870967742,17,1500768000000
WE,MOS,2,63,-0.585714285714286,-3.346688091971706,0.5873015873015873,0.031746031746031744,0.1746031746031746,0.20634920634920634,17,1500768000000
US,HIN,2,159,2.0182389937106944,0.9590787626105061,0.8867924528301887,0.0440251572327044,0.025157232704402517,0.0440251572327044,17,1500768000000
IZ,MOS,2,711,-2.3668073136427603,-3.7733340370216544,0.42616033755274263,0.06329113924050633,0.14767932489451477,0.3628691983122363,17,1500768000000
IR,MOS,2,750,-0.6201333333333343,-3.0053410885767042,0.5293333333333333,0.088,0.12933333333333333,0.25333333333333335,17,1500768000000
IS,MOS,2,1169,-0.5238665526090727,-3.7958030401538814,0.5911035072711719,0.04448246364414029,0.18562874251497005,0.1787852865697177,17,1500768000000
RI,MOS,2,2,-5.0,-10.6944159573377,0.0,0.0,0.0,1.0,17,1500768000000
CB,BUD,2,5,2.7199999999999998,2.15764016794882,0.8,0.2,0.0,0.0,17,1500768000000
QA,MOS,2,158,1.3829113924050649,-3.451952891393061,0.6962025316455697,0.04430379746835443,0.15822784810126583,0.10126582278481013,17,1500768000000
AG,JEW,2,1,2.8,-1.40679953106682,1.0,0.0,0.0,0.0,17,1500768000000
IS,NRM,2,1,1.9,-1.03956107421311,1.0,0.0,0.0,0.0,17,1500768000000
MD,MOS,2,2,0.95,-0.77034183919114,1.0,0.0,0.0,0.0,17,1500768000000
LG,JEW,2,1,-5.0,-0.40983606557377,0.0,0.0,0.0,1.0,17,1500768000000
AL,JEW,2,1,2.8,1.77859552284576,1.0,0.0,0.0,0.0,17,1500768000000
ID,ATH,2,2,2.8,-1.38568129330254,1.0,0.0,0.0,0.0,17,1500768000000
VM,NRM,2,2,4.0,-1.8361581920904,1.0,0.0,0.0,0.0,17,1500768000000
IN,SHN,2,1,1.9,7.33333333333334,1.0,0.0,0.0,0.0,17,1500768000000
NP,CHR,2,1,3.4,1.97628458498024,1.0,0.0,0.0,0.0,17,1500768000000
UZ,NRM,2,1,0.0,-3.48387096774193,1.0,0.0,0.0,0.0,17,1500768000000
KG,MOS,2,1,3.4,-10.2941176470589,1.0,0.0,0.0,0.0,17,1500768000000
ID,BUD,2,1,4.0,1.76544766708701,1.0,0.0,0.0,0.0,17,1500768000000
ID,NRM,2,2,3.4,1.06100795755968,1.0,0.0,0.0,0.0,17,1500768000000
MO,CHR,2,4,-2.0,-7.981613567140929,0.0,0.25,0.5,0.25,17,1500768000000
CH,CON,2,2,3.4,0.45351473922903,1.0,0.0,0.0,0.0,17,1500768000000
AE,HIN,2,1,2.8,0.77777777777778,1.0,0.0,0.0,0.0,17,1500768000000
LA,BUD,2,1,7.4,10.8333333333333,0.0,1.0,0.0,0.0,17,1500768000000
AL,CHR,2,2,-2.0,-6.67726550079491,0.5,0.0,0.0,0.5,17,1500768000000
TT,MOS,2,2,3.15,0.42313117066291,1.0,0.0,0.0,0.0,17,1500768000000
EC,CHR,2,4,1.8749999999999998,0.9247442742866074,1.0,0.0,0.0,0.0,17,1500768000000
CU,SHN,2,1,2.8,0.74441687344913,1.0,0.0,0.0,0.0,17,1500768000000
GT,ATH,2,1,1.9,4.26829268292682,1.0,0.0,0.0,0.0,17,1500768000000
ID,CON,2,2,-4.0,-4.54545454545454,0.0,0.0,0.0,1.0,17,1500768000000
NH,CHR,2,1,2.8,0.54945054945055,1.0,0.0,0.0,0.0,17,1500768000000
PO,JEW,2,3,0.7999999999999999,-0.51424368830512,0.6666666666666666,0.0,0.0,0.3333333333333333,17,1500768000000
BN,CHR,2,4,-3.75,-7.092820802817252,0.5,0.0,0.0,0.5,17,1500768000000
ID,JEW,2,4,1.9,-0.67643742953777,1.0,0.0,0.0,0.0,17,1500768000000
EG,SIK,2,1,-10.0,-0.39556962025317,0.0,0.0,0.0,1.0,17,1500768000000
YM,JEW,2,2,2.95,-2.564206576754985,1.0,0.0,0.0,0.0,17,1500768000000
EZ,NRM,2,12,1.7,-5.754550792718735,1.0,0.0,0.0,0.0,17,1500768000000
KU,CHR,2,2,6.0,1.34453781512605,0.0,1.0,0.0,0.0,17,1500768000000
VI,BUD,2,1,0.0,1.43737166324436,1.0,0.0,0.0,0.0,17,1500768000000
PE,BUD,2,1,0.0,1.43737166324436,1.0,0.0,0.0,0.0,17,1500768000000
CG,CHR,2,3,-4.2,-4.453378134648504,0.0,0.3333333333333333,0.0,0.6666666666666666,17,1500768000000
NI,CHR,2,131,-0.18473282442748093,-1.4222598196469958,0.6335877862595419,0.022900763358778626,0.2366412213740458,0.10687022900763359,17,1500768000000
IN,ZRO,2,4,-1.6,-0.07524871688158002,0.75,0.0,0.0,0.25,17,1500768000000
ES,JEW,2,1,7.0,-0.403586769046287,0.0,1.0,0.0,0.0,17,1500768000000
SP,CHR,2,59,-0.08474576271186468,-0.4436486863074147,0.6949152542372882,0.03389830508474576,0.1016949152542373,0.1694915254237288,17,1500768000000
BO,CHR,2,2,1.0,-1.25448028673835,1.0,0.0,0.0,0.0,17,1500768000000
RB,CHR,2,4,2.3499999999999996,2.80137944822071,1.0,0.0,0.0,0.0,17,1500768000000
CI,MOS,2,4,1.7,-5.48420521183648,1.0,0.0,0.0,0.0,17,1500768000000
CI,JEW,2,4,0.9500000000000002,-7.407840297656065,0.5,0.0,0.5,0.0,17,1500768000000
GT,JEW,2,3,3.4,7.015532950698224,1.0,0.0,0.0,0.0,17,1500768000000
