country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
RP,CHR,2,66,1.393939393939394,-0.18816189657056848,0.7878787878787878,0.06060606060606061,0.07575757575757576,0.07575757575757576,18,1501632000000
SH,SHN,2,3,3.6,-1.00755667506297,1.0,0.0,0.0,0.0,18,1501632000000
CG,MOS,2,1,-9.0,-6.09418282548476,0.0,0.0,0.0,1.0,18,1501632000000
US,CHR,1,3603,1.4085206772134342,-0.6633279951177664,0.7429919511518179,0.07077435470441298,0.10380238689980571,0.08243130724396336,18,1501632000000
JM,NRM,2,1,0.0,3.52187833511206,1.0,0.0,0.0,0.0,18,1501632000000
SI,CHR,2,1,4.0,-0.4,1.0,0.0,0.0,0.0,18,1501632000000
ML,CHR,2,1,0.0,-6.60660660660661,1.0,0.0,0.0,0.0,18,1501632000000
GL,CHR,2,1,4.0,-2.03784570596798,1.0,0.0,0.0,0.0,18,1501632000000
US,HIN,1,198,1.7388888888888896,1.155827354674862,0.8585858585858586,0.04040404040404041,0.025252525252525252,0.07575757575757576,18,1501632000000
CE,HIN,2,5,0.8400000000000001,-3.8394728663896087,1.0,0.0,0.0,0.0,18,1501632000000
GZ,CHR,1,2,0.0,-6.65701881331404,1.0,0.0,0.0,0.0,18,1501632000000
SY,HIN,2,3,6.0,0.8436075780228668,0.0,1.0,0.0,0.0,18,1501632000000
BU,NRM,1,2,1.0,11.021505376344,1.0,0.0,0.0,0.0,18,1501632000000
TO,JEW,2,1,-4.0,1.67224080267558,0.0,0.0,1.0,0.0,18,1501632000000
MN,CHR,1,1,3.0,5.03937007874016,1.0,0.0,0.0,0.0,18,1501632000000
ID,HIN,1,1,2.8,-2.83870967741936,1.0,0.0,0.0,0.0,18,1501632000000
BU,MOS,2,3,0.39999999999999974,-2.057420964100897,0.6666666666666666,0.0,0.3333333333333333,0.0,18,1501632000000
NZ,JEW,2,1,3.4,3.3678756476684,1.0,0.0,0.0,0.0,18,1501632000000
NI,ATH,1,3,3.4,-7.839721254355429,1.0,0.0,0.0,0.0,18,1501632000000
NO,JEW,2,1,4.0,-5.58441558441558,1.0,0.0,0.0,0.0,18,1501632000000
LA,BUD,1,1,8.0,4.00751408891672,1.0,0.0,0.0,0.0,18,1501632000000
KZ,NRM,2,1,0.0,0.2460024600246,1.0,0.0,0.0,0.0,18,1501632000000
ST,CHR,1,1,7.0,6.59340659340659,0.0,1.0,0.0,0.0,18,1501632000000
PE,BUD,1,2,-10.0,-5.59006211180124,0.0,0.0,0.0,1.0,18,1501632000000
NP,MOS,2,5,-1.2,-4.2735471607528535,0.2,0.2,0.0,0.6,18,1501632000000
EZ,MOS,2,1,1.9,-0.59299191374663,1.0,0.0,0.0,0.0,18,1501632000000
FR,SIK,1,3,6.933333333333334,-6.267439128263896,0.0,1.0,0.0,0.0,18,1501632000000
EK,MOS,1,1,-5.0,-6.46802325581395,0.0,0.0,0.0,1.0,18,1501632000000
BK,JEW,2,2,7.0,-0.015898104732659152,1.0,0.0,0.0,0.0,18,1501632000000
GM,JAN,1,1,0.4,0.87336244541485,1.0,0.0,0.0,0.0,18,1501632000000
CA,BUD,2,2,2.8,-2.410416917459175,1.0,0.0,0.0,0.0,18,1501632000000
GK,HIN,1,1,-2.0,-0.57636887608069,0.0,0.0,1.0,0.0,18,1501632000000
BR,HIN,2,2,-2.0,1.3614642199542648,0.0,1.0,0.0,0.0,18,1501632000000
MX,ATH,2,1,0.0,-2.31755424063117,1.0,0.0,0.0,0.0,18,1501632000000
BD,CHR,1,10,1.5900000000000003,2.229447815392664,0.7,0.1,0.2,0.0,18,1501632000000
LE,HIN,2,3,3.4,-3.0516160456104706,1.0,0.0,0.0,0.0,18,1501632000000
UK,SHN,1,8,0.8499999999999999,-0.7743436679254037,1.0,0.0,0.0,0.0,18,1501632000000
MG,BUD,1,1,2.8,2.92721518987342,1.0,0.0,0.0,0.0,18,1501632000000
FJ,CHR,2,3,3.1999999999999997,2.05908138589368,1.0,0.0,0.0,0.0,18,1501632000000
TD,CHR,1,2,1.9,4.301265837415695,1.0,0.0,0.0,0.0,18,1501632000000
SZ,MOS,2,36,-3.822222222222222,-10.344026652583738,0.25,0.05555555555555555,0.16666666666666666,0.5277777777777778,18,1501632000000
GR,NRM,1,1,3.4,3.32409972299169,1.0,0.0,0.0,0.0,18,1501632000000
FP,CHR,2,2,4.0,0.4212299915754,1.0,0.0,0.0,0.0,18,1501632000000
HA,MOS,1,2,-1.1,-2.92552482875762,0.5,0.0,0.0,0.5,18,1501632000000
IN,ATH,2,4,-3.25,2.721233287477327,0.5,0.0,0.25,0.25,18,1501632000000
LU,CHR,1,9,1.0444444444444445,-1.1663585810975234,1.0,0.0,0.0,0.0,18,1501632000000
ZA,HIN,2,4,5.0,-7.078842857240425,0.0,1.0,0.0,0.0,18,1501632000000
BR,JEW,2,12,-1.0,-6.293054993759335,0.08333333333333333,0.3333333333333333,0.0,0.5833333333333334,18,1501632000000
CJ,MOS,2,4,1.9,0.0,1.0,0.0,0.0,0.0,18,1501632000000
CJ,CHR,2,2,0.0,0.0,1.0,0.0,0.0,0.0,18,1501632000000
HO,CHR,2,3,3.6,-0.9541055338844,1.0,0.0,0.0,0.0,18,1501632000000
GG,CHR,2,1,3.4,2.66666666666667,1.0,0.0,0.0,0.0,18,1501632000000
IS,MOS,1,447,-0.25078299776286167,-3.05594412509315,0.6174496644295302,0.053691275167785234,0.14541387024608501,0.18344519015659955,18,1501632000000
FR,NRM,2,5,4.26,-0.661305788272806,1.0,0.0,0.0,0.0,18,1501632000000
NH,HIN,1,1,3.4,6.62983425414365,1.0,0.0,0.0,0.0,18,1501632000000
BG,HIN,2,15,0.0,-2.147069979361578,0.3333333333333333,0.26666666666666666,0.2,0.2,18,1501632000000
AL,MOS,1,5,-0.6,-3.0377372738427275,0.2,0.2,0.4,0.2,18,1501632000000
CI,HIN,2,5,-5.24,2.08816705336427,0.4,0.0,0.0,0.6,18,1501632000000
CS,CHR,1,1,3.4,2.81543274244004,1.0,0.0,0.0,0.0,18,1501632000000
BM,JEW,2,4,2.8499999999999996,-0.25194749823978013,1.0,0.0,0.0,0.0,18,1501632000000
CY,CHR,1,3,3.0,0.40514424748001326,1.0,0.0,0.0,0.0,18,1501632000000
JO,ATH,2,4,-4.0,-3.1464101722126023,0.0,0.0,1.0,0.0,18,1501632000000
SA,BUD,1,1,-2.0,-0.80971659919028,0.0,1.0,0.0,0.0,18,1501632000000
QA,NRM,2,1,0.4,-1.62601626016261,1.0,0.0,0.0,0.0,18,1501632000000
NZ,NRM,1,2,3.4,6.33802816901409,1.0,0.0,0.0,0.0,18,1501632000000
MY,HIN,2,4,-1.025,-5.212738841741684,0.25,0.25,0.25,0.25,18,1501632000000
JA,JEW,1,9,-1.7000000000000004,-1.6433347446655633,0.6666666666666666,0.0,0.0,0.3333333333333333,18,1501632000000
AS,SIK,2,3,-1.3333333333333333,2.0918159299360335,0.6666666666666666,0.0,0.3333333333333333,0.0,18,1501632000000
AF,CHR,1,2,5.0,-1.460070799519495,0.5,0.5,0.0,0.0,18,1501632000000
AS,BUD,2,4,4.75,-2.1211277986525157,0.75,0.0,0.0,0.25,18,1501632000000
FR,ATH,1,1,-4.0,-0.63025210084034,0.0,0.0,1.0,0.0,18,1501632000000
BO,JEW,2,3,1.3333333333333333,-2.17867747474637,0.6666666666666666,0.0,0.3333333333333333,0.0,18,1501632000000
US,SHN,1,2,4.0,1.5,1.0,0.0,0.0,0.0,18,1501632000000
IS,ATH,2,3,-4.533333333333333,-0.06296103441295668,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,18,1501632000000
JM,MOS,1,1,0.0,-3.87811634349031,1.0,0.0,0.0,0.0,18,1501632000000
PP,CHR,2,8,0.95,-0.8668379776481088,0.875,0.0,0.0,0.125,18,1501632000000
TO,CHR,1,1,3.0,-3.33912007196182,1.0,0.0,0.0,0.0,18,1501632000000
DJ,MOS,2,1,7.0,-2.01005025125628,1.0,0.0,0.0,0.0,18,1501632000000
EZ,JEW,1,3,2.0666666666666664,3.6780107937603166,1.0,0.0,0.0,0.0,18,1501632000000
UK,BAH,1,2,-0.4,0.734274612320645,1.0,0.0,0.0,0.0,18,1501632000000
VM,BUD,2,14,1.9428571428571426,-0.2326839582925913,1.0,0.0,0.0,0.0,18,1501632000000
BP,BAH,1,2,-0.4,0.734274612320645,1.0,0.0,0.0,0.0,18,1501632000000
SZ,ATH,2,2,-2.0,-0.8220502901354,0.0,0.0,1.0,0.0,18,1501632000000
SO,CHR,2,10,1.14,-4.357356474305563,0.9,0.0,0.1,0.0,18,1501632000000
MY,CHR,1,15,3.133333333333333,2.5281269521990852,1.0,0.0,0.0,0.0,18,1501632000000
CB,HIN,1,1,3.0,-9.7983829830647,1.0,0.0,0.0,0.0,18,1501632000000
LT,MOS,2,1,3.4,2.33463035019455,1.0,0.0,0.0,0.0,18,1501632000000
CT,MOS,1,16,-6.0,-8.377166952973859,0.125,0.0,0.1875,0.6875,18,1501632000000
MY,BUD,2,6,4.8,-3.5013795729535406,0.3333333333333333,0.6666666666666666,0.0,0.0,18,1501632000000
BC,CHR,1,1,7.0,2.77008310249308,0.0,1.0,0.0,0.0,18,1501632000000
UK,ATH,2,5,3.56,-0.03313266159054802,0.6,0.4,0.0,0.0,18,1501632000000
MO,CHR,1,2,-1.2500000000000002,-2.185697808535175,0.5,0.0,0.5,0.0,18,1501632000000
IR,SIK,2,1,-5.0,-7.4245939675174,0.0,0.0,0.0,1.0,18,1501632000000
IT,NRM,2,3,2.2666666666666666,1.6345699896184234,1.0,0.0,0.0,0.0,18,1501632000000
CF,CHR,1,7,0.457142857142857,-3.790382395351654,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,18,1501632000000
IV,MOS,1,1,-4.4,0.49833887043189,0.0,0.0,1.0,0.0,18,1501632000000
UP,CHR,2,9,0.8777777777777778,0.9799128321965197,0.8888888888888888,0.0,0.0,0.1111111111111111,18,1501632000000
NL,NRM,1,1,1.0,7.36514100121047,1.0,0.0,0.0,0.0,18,1501632000000
LY,BUD,2,1,1.0,-1.85185185185185,1.0,0.0,0.0,0.0,18,1501632000000
UG,MOS,2,3,4.3,2.3474615742897065,0.6666666666666666,0.3333333333333333,0.0,0.0,18,1501632000000
