country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
EG,MOS,1,296,-1.1060810810810808,-3.668328788287294,0.47297297297297297,0.08108108108108109,0.19594594594594594,0.25,12,1496448000000
TS,MOS,1,28,0.9321428571428567,-5.403374929322189,0.8214285714285714,0.03571428571428571,0.03571428571428571,0.10714285714285714,12,1496448000000
IN,JEW,1,475,1.2983157894736832,-0.8805483344221247,0.7873684210526316,0.05263157894736842,0.10947368421052632,0.05052631578947368,12,1496448000000
FJ,CHR,1,13,2.338461538461538,1.2770333193679386,0.9230769230769231,0.0,0.07692307692307693,0.0,12,1496448000000
IC,ATH,1,1,-4.0,-5.85774058577406,0.0,0.0,1.0,0.0,12,1496448000000
JM,NRM,1,4,1.5,1.73913043478261,1.0,0.0,0.0,0.0,12,1496448000000
KE,JEW,1,2,0.0,1.65094339622641,1.0,0.0,0.0,0.0,12,1496448000000
MX,NRM,1,1,7.4,-1.58102766798419,0.0,1.0,0.0,0.0,12,1496448000000
PK,ATH,1,1,2.8,-12.1518987341772,1.0,0.0,0.0,0.0,12,1496448000000
IT,SIK,1,9,2.2111111111111112,-1.8244237193562145,0.3333333333333333,0.5555555555555556,0.0,0.1111111111111111,12,1496448000000
MZ,BUD,1,2,4.65,-3.003769065331895,0.5,0.5,0.0,0.0,12,1496448000000
CA,CHR,1,173,1.3890173410404638,-0.09439652785953669,0.8323699421965318,0.04046242774566474,0.05202312138728324,0.07514450867052024,12,1496448000000
UK,MOS,1,1722,-1.6487804878048702,-5.652616516133736,0.47909407665505227,0.04878048780487805,0.227061556329849,0.2450638792102207,12,1496448000000
HK,BUD,1,1,1.9,1.47874306839187,1.0,0.0,0.0,0.0,12,1496448000000
HU,MOS,1,2,-3.2,-5.084632514511335,0.0,0.0,1.0,0.0,12,1496448000000
IT,NRM,1,1,1.9,-4.30009149130833,1.0,0.0,0.0,0.0,12,1496448000000
AF,MOS,1,251,-2.896015936254981,-5.010061777306829,0.4063745019920319,0.03187250996015936,0.21115537848605578,0.350597609561753,12,1496448000000
IR,SIK,1,2,1.0,-4.9520766773163,1.0,0.0,0.0,0.0,12,1496448000000
MP,JEW,1,1,4.0,-2.10843373493976,1.0,0.0,0.0,0.0,12,1496448000000
GY,CHR,1,3,0.2666666666666666,1.5502825081085898,0.6666666666666666,0.3333333333333333,0.0,0.0,12,1496448000000
GY,HIN,1,1,3.4,-0.54764512595838,1.0,0.0,0.0,0.0,12,1496448000000
