country,religionPrefix,actorNumber,count,avgGoldstein,avgAvgTone,quadClass1Percentage,quadClass2Percentage,quadClass3Percentage,quadClass4Percentage,windowIndex,windowStart
US,MOS,2,277,-0.6765342960288802,-4.5138896755537115,0.4332129963898917,0.08664259927797834,0.3176895306859206,0.1624548736462094,19,1502496000000
DA,CHR,2,2,2.3499999999999996,-5.01567398119122,1.0,0.0,0.0,0.0,19,1502496000000
GZ,MOS,2,2,2.8,0.485436893203883,1.0,0.0,0.0,0.0,19,1502496000000
MR,MOS,2,2,-5.0,-7.60869565217396,0.5,0.0,0.0,0.5,19,1502496000000
US,CHR,2,509,0.5418467583497064,-1.598697598250591,0.68762278978389,0.060903732809430254,0.16306483300589392,0.08840864440078586,19,1502496000000
AR,JEW,2,1,4.0,0.86580086580087,1.0,0.0,0.0,0.0,19,1502496000000
TW,CHR,2,2,2.8,-3.79901960784313,1.0,0.0,0.0,0.0,19,1502496000000
SW,HIN,2,1,1.9,3.5650623885918,1.0,0.0,0.0,0.0,19,1502496000000
HU,CHR,2,12,1.4083333333333332,-1.6048699501936905,0.5,0.16666666666666666,0.3333333333333333,0.0,19,1502496000000
ER,CHR,2,8,-5.75,-7.494958846888698,0.0,0.0,0.0,1.0,19,1502496000000
ID,HIN,2,1,0.0,3.33333333333333,1.0,0.0,0.0,0.0,19,1502496000000
LH,CHR,2,1,7.0,1.67865707434053,1.0,0.0,0.0,0.0,19,1502496000000
KZ,MOS,2,1,10.0,-4.51467268623024,0.0,1.0,0.0,0.0,19,1502496000000
CO,CHR,2,13,2.6846153846153844,-4.531104787051176,1.0,0.0,0.0,0.0,19,1502496000000
GR,JEW,2,1,-2.0,-1.82348650619986,0.0,0.0,1.0,0.0,19,1502496000000
KZ,BUD,2,1,3.0,-0.27453671928621,1.0,0.0,0.0,0.0,19,1502496000000
KV,MOS,2,2,-1.5,-1.50068212824011,0.5,0.0,0.0,0.5,19,1502496000000
TZ,MOS,2,1,1.9,-0.81521739130435,1.0,0.0,0.0,0.0,19,1502496000000
NL,CHR,2,1,-2.0,-1.03092783505155,0.0,0.0,1.0,0.0,19,1502496000000
SP,JEW,2,1,-5.0,-2.12514757969304,0.0,0.0,0.0,1.0,19,1502496000000
AM,MOS,2,1,3.0,-1.02095578839765,1.0,0.0,0.0,0.0,19,1502496000000
EC,CHR,2,1,2.8,-3.26340326340326,1.0,0.0,0.0,0.0,19,1502496000000
KG,HIN,2,2,0.0,2.32558139534884,1.0,0.0,0.0,0.0,19,1502496000000
CT,MOS,2,3,4.6000000000000005,-6.4303792604972605,0.6666666666666666,0.3333333333333333,0.0,0.0,19,1502496000000
VE,CHR,2,6,1.9000000000000001,-2.7369863061956283,1.0,0.0,0.0,0.0,19,1502496000000
KS,BUD,2,1,7.0,2.96846011131726,0.0,1.0,0.0,0.0,19,1502496000000
CB,MOS,2,1,5.2,1.52801358234295,1.0,0.0,0.0,0.0,19,1502496000000
TU,JEW,2,2,-0.050000000000000044,-1.82348650619986,0.5,0.0,0.5,0.0,19,1502496000000
CH,BUD,2,1,1.0,0.50761421319797,1.0,0.0,0.0,0.0,19,1502496000000
BR,CHR,2,1,2.8,-1.81503889369058,1.0,0.0,0.0,0.0,19,1502496000000
KZ,CHR,2,2,-6.0,-2.215143627307195,0.0,0.0,0.0,1.0,19,1502496000000
SF,HIN,2,1,0.0,0.0,1.0,0.0,0.0,0.0,19,1502496000000
SN,NRM,2,1,2.8,4.18848167539267,1.0,0.0,0.0,0.0,19,1502496000000
TX,MOS,2,1,-4.4,-3.12423962957359,0.0,0.0,1.0,0.0,19,1502496000000
NO,MOS,2,2,2.8,-4.0,1.0,0.0,0.0,0.0,19,1502496000000
AS,NRM,2,1,2.8,4.18848167539267,1.0,0.0,0.0,0.0,19,1502496000000
EC,NRM,2,2,0.0,0.380228136882131,1.0,0.0,0.0,0.0,19,1502496000000
SO,MOS,2,3,2.4999999999999996,0.7291694612643966,1.0,0.0,0.0,0.0,19,1502496000000
BE,JEW,2,3,0.5333333333333332,-1.3865779256794266,0.6666666666666666,0.0,0.3333333333333333,0.0,19,1502496000000
BB,CHR,2,1,1.0,1.32743362831859,1.0,0.0,0.0,0.0,19,1502496000000
NI,HIN,2,2,-1.55,0.02309309958531003,0.5,0.0,0.5,0.0,19,1502496000000
IV,MOS,2,1,2.8,2.84552845528455,1.0,0.0,0.0,0.0,19,1502496000000
MY,CHR,2,1,0.0,-1.06194690265486,1.0,0.0,0.0,0.0,19,1502496000000
US,SIK,2,11,-0.5090909090909093,-4.780753088216714,0.6363636363636364,0.0,0.2727272727272727,0.09090909090909091,19,1502496000000
IS,BUD,2,1,7.4,2.13143872113677,0.0,1.0,0.0,0.0,19,1502496000000
IR,CHR,2,4,2.5749999999999997,-0.2178388179783125,1.0,0.0,0.0,0.0,19,1502496000000
JA,MOS,2,4,2.3499999999999996,0.0,1.0,0.0,0.0,0.0,19,1502496000000
PK,CHR,2,3,0.9666666666666668,-1.74377514667896,0.6666666666666666,0.0,0.3333333333333333,0.0,19,1502496000000
RS,SIK,2,3,-10.0,-2.93747825346046,0.0,0.0,0.0,1.0,19,1502496000000
IN,BUD,2,3,2.0,0.7064892286417868,1.0,0.0,0.0,0.0,19,1502496000000
SF,JEW,2,4,1.0,-0.75155783293851,1.0,0.0,0.0,0.0,19,1502496000000
CD,MOS,2,2,-10.0,-6.85252376256706,0.0,0.0,0.0,1.0,19,1502496000000
BC,CHR,2,1,5.0,-3.39578454332553,0.0,1.0,0.0,0.0,19,1502496000000
ZI,JEW,2,2,-0.2,0.36463081130355,1.0,0.0,0.0,0.0,19,1502496000000
RO,MOS,2,19,-4.221052631578948,-10.701025135917863,0.42105263157894735,0.0,0.0,0.5789473684210527,19,1502496000000
NZ,HIN,2,1,-0.4,1.49377593360996,1.0,0.0,0.0,0.0,19,1502496000000
UK,SIK,2,4,-3.5,-2.12264150943396,0.25,0.0,0.5,0.25,19,1502496000000
BG,SIK,2,1,7.4,-1.43027413587604,0.0,1.0,0.0,0.0,19,1502496000000
RS,JEW,2,6,-2.8166666666666664,-4.9273428937774195,0.5,0.0,0.5,0.0,19,1502496000000
HK,MOS,2,1,2.8,-5.28843281676902,1.0,0.0,0.0,0.0,19,1502496000000
UP,MOS,2,1,6.0,6.02582496413199,1.0,0.0,0.0,0.0,19,1502496000000
GH,MOS,2,4,1.2999999999999998,-1.269517043234445,0.75,0.0,0.25,0.0,19,1502496000000
BH,CHR,2,2,3.0999999999999996,-3.364592642039645,1.0,0.0,0.0,0.0,19,1502496000000
LE,CHR,2,7,0.48571428571428577,-1.6327631394418873,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,19,1502496000000
GM,JEW,2,2,-0.5,-6.32189672153875,0.5,0.0,0.5,0.0,19,1502496000000
TH,MOS,2,8,2.5875,4.5996592844974495,1.0,0.0,0.0,0.0,19,1502496000000
SY,NRM,2,1,3.4,4.21052631578947,1.0,0.0,0.0,0.0,19,1502496000000
CA,HIN,2,4,2.0999999999999996,0.4722613511862377,1.0,0.0,0.0,0.0,19,1502496000000
FR,JEW,2,3,-0.3333333333333333,-3.9516618754924466,0.6666666666666666,0.0,0.3333333333333333,0.0,19,1502496000000
FR,BUD,2,2,2.45,0.47611100514972,1.0,0.0,0.0,0.0,19,1502496000000
MV,MOS,2,1,-2.0,-10.7806691449814,0.0,0.0,1.0,0.0,19,1502496000000
GZ,JEW,2,2,-7.0,3.35820895522388,0.0,0.0,0.0,1.0,19,1502496000000
RS,ATH,2,1,-5.0,-2.60598988720342,0.0,0.0,1.0,0.0,19,1502496000000
VM,CHR,2,2,2.3499999999999996,1.36674259681094,1.0,0.0,0.0,0.0,19,1502496000000
CA,SIK,2,1,5.0,-2.61593341260405,0.0,1.0,0.0,0.0,19,1502496000000
SF,CHR,2,7,-1.8714285714285714,-1.6857481762132143,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,19,1502496000000
CH,JEW,2,1,8.0,3.41555977229602,1.0,0.0,0.0,0.0,19,1502496000000
JA,CHR,2,7,2.157142857142857,1.2551941052437585,1.0,0.0,0.0,0.0,19,1502496000000
AU,JEW,2,1,7.0,0.51150895140665,1.0,0.0,0.0,0.0,19,1502496000000
MX,CHR,2,12,-0.016666666666666757,-2.042469120861458,0.5833333333333334,0.08333333333333333,0.25,0.08333333333333333,19,1502496000000
LA,BUD,2,2,3.45,0.18621973929237,0.5,0.5,0.0,0.0,19,1502496000000
SF,SHN,2,2,0.4,-1.64049032752346,1.0,0.0,0.0,0.0,19,1502496000000
UK,JEW,2,10,-3.44,-2.1267055714623493,0.4,0.1,0.0,0.5,19,1502496000000
NI,MOS,2,31,-1.7451612903225808,-4.001941086367217,0.45161290322580644,0.0967741935483871,0.16129032258064516,0.2903225806451613,19,1502496000000
UK,SHN,2,1,-0.4,-1.64049032752346,1.0,0.0,0.0,0.0,19,1502496000000
CH,HIN,2,12,-3.6,-2.476693198364329,0.5,0.0,0.0,0.5,19,1502496000000
CU,CHR,2,2,2.0,-2.14723926380368,1.0,0.0,0.0,0.0,19,1502496000000
DR,CHR,2,3,1.5999999999999999,0.4342354379014866,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,19,1502496000000
AS,MOS,2,23,0.32608695652173897,-4.089982361205263,0.6521739130434783,0.08695652173913043,0.17391304347826086,0.08695652173913043,19,1502496000000
MT,CHR,2,3,4.6000000000000005,7.322569088083097,0.6666666666666666,0.3333333333333333,0.0,0.0,19,1502496000000
SU,MOS,2,1,-4.4,-5.41666666666667,0.0,0.0,1.0,0.0,19,1502496000000
AS,ADR,2,1,2.8,2.03045685279188,1.0,0.0,0.0,0.0,19,1502496000000
IN,JAN,2,10,0.12000000000000006,-1.074413781719516,0.5,0.2,0.2,0.1,19,1502496000000
UK,MOS,2,61,-0.6016393442622952,-3.66805953013373,0.5081967213114754,0.09836065573770492,0.18032786885245902,0.21311475409836064,19,1502496000000
SF,MOS,2,9,2.4999999999999996,-4.687142202359395,0.8888888888888888,0.1111111111111111,0.0,0.0,19,1502496000000
ID,CHR,2,2,3.0,-4.27139163257017,1.0,0.0,0.0,0.0,19,1502496000000
US,HIN,2,21,0.7619047619047619,-1.2842745333490773,0.7142857142857143,0.09523809523809523,0.0,0.19047619047619047,19,1502496000000
